#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
ZBTB17	SP1	1856370	1851138	ENSP00000364895	ENSP00000329357	0.000	0.000	0.000	0.616	0.000	0.000	0.900	0.000	0.900
CDK6	CDK4	1845799	1844551	ENSP00000265734	ENSP00000257904	0.000	0.000	0.000	0.977	0.000	0.842	0.900	0.000	0.983
FOXO1	CDKN2B	1857055	1846519	ENSP00000368880	ENSP00000276925	0.000	0.000	0.000	0.000	0.000	0.073	0.900	0.000	0.903
ZBTB17	SMAD4	1856370	1852473	ENSP00000364895	ENSP00000341551	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
FOXO4	SMAD4	1856074	1852473	ENSP00000363377	ENSP00000341551	0.000	0.000	0.000	0.000	0.000	0.573	0.900	0.000	0.955
EIF2C4	SP1	1855854	1851138	ENSP00000362306	ENSP00000329357	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
EIF2C1	CDK4	1855852	1844551	ENSP00000362300	ENSP00000257904	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
FOXO1	FOXO4	1857055	1856074	ENSP00000368880	ENSP00000363377	0.000	0.000	0.000	0.865	0.000	0.000	0.900	0.000	0.899
EIF2C4	CDK4	1855854	1844551	ENSP00000362306	ENSP00000257904	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
EIF2C3	CDK4	1855848	1844551	ENSP00000362287	ENSP00000257904	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
SP1	CDK4	1851138	1844551	ENSP00000329357	ENSP00000257904	0.000	0.000	0.000	0.000	0.000	0.589	0.000	0.000	0.589
EIF2C1	SP1	1855852	1851138	ENSP00000362300	ENSP00000329357	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
CDKN2B	CDK6	1846519	1845799	ENSP00000276925	ENSP00000265734	0.000	0.000	0.000	0.000	0.000	0.778	0.900	0.000	0.976
ZBTB17	CDKN2B	1856370	1846519	ENSP00000364895	ENSP00000276925	0.000	0.000	0.000	0.000	0.000	0.588	0.900	0.000	0.957
FOXO1	SMAD4	1857055	1852473	ENSP00000368880	ENSP00000341551	0.000	0.000	0.000	0.000	0.000	0.573	0.900	0.000	0.955
EIF2C3	SP1	1855848	1851138	ENSP00000362287	ENSP00000329357	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
EIF2C3	CDKN2B	1855848	1846519	ENSP00000362287	ENSP00000276925	0.000	0.000	0.000	0.000	0.000	0.095	0.900	0.000	0.905
EIF2C4	EIF2C1	1855854	1855852	ENSP00000362306	ENSP00000362300	0.000	0.000	0.000	0.986	0.000	0.000	0.900	0.000	0.899
EIF2C4	EIF2C3	1855854	1855848	ENSP00000362306	ENSP00000362287	0.000	0.000	0.000	0.985	0.000	0.621	0.900	0.000	0.960
CDKN2B	CDK4	1846519	1844551	ENSP00000276925	ENSP00000257904	0.000	0.000	0.000	0.000	0.000	0.988	0.900	0.000	0.998
EIF2C1	CDKN2B	1855852	1846519	ENSP00000362300	ENSP00000276925	0.000	0.000	0.000	0.000	0.000	0.095	0.900	0.000	0.905
SP1	CDKN2B	1851138	1846519	ENSP00000329357	ENSP00000276925	0.000	0.000	0.000	0.000	0.000	0.592	0.900	0.000	0.957
SMAD4	CDKN2B	1852473	1846519	ENSP00000341551	ENSP00000276925	0.000	0.000	0.000	0.000	0.000	0.570	0.900	0.000	0.955
EIF2C4	CDK6	1855854	1845799	ENSP00000362306	ENSP00000265734	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
SMAD4	SP1	1852473	1851138	ENSP00000341551	ENSP00000329357	0.000	0.000	0.000	0.000	0.000	0.992	0.900	0.000	0.999
FOXO4	CDKN2B	1856074	1846519	ENSP00000363377	ENSP00000276925	0.000	0.000	0.000	0.000	0.000	0.073	0.900	0.000	0.903
EIF2C3	CDK6	1855848	1845799	ENSP00000362287	ENSP00000265734	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
EIF2C1	EIF2C3	1855852	1855848	ENSP00000362300	ENSP00000362287	0.000	0.000	0.000	0.987	0.000	0.481	0.900	0.000	0.945
EIF2C1	CDK6	1855852	1845799	ENSP00000362300	ENSP00000265734	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
SMAD4	CDK4	1852473	1844551	ENSP00000341551	ENSP00000257904	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
EIF2C4	CDKN2B	1855854	1846519	ENSP00000362306	ENSP00000276925	0.000	0.000	0.000	0.000	0.000	0.095	0.900	0.000	0.905
