#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
RGS6	CXCR4	1862736	1859216	ENSP00000451030	ENSP00000386884	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
CCR3	HCAR3	1862185	1862042	ENSP00000441600	ENSP00000436714	0.000	0.000	0.000	0.681	0.000	0.000	0.900	0.000	0.899
RGS6	CCR4	1862736	1851498	ENSP00000451030	ENSP00000332659	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
CXCL12	CCR10	1858332	1851480	ENSP00000379140	ENSP00000332504	0.000	0.000	0.000	0.000	0.000	0.576	0.900	0.000	0.955
CXCL12	CCR4	1858332	1851498	ENSP00000379140	ENSP00000332659	0.000	0.000	0.000	0.000	0.000	0.812	0.900	0.000	0.980
HCAR3	CCR10	1862042	1851480	ENSP00000436714	ENSP00000332504	0.000	0.000	0.000	0.668	0.000	0.000	0.900	0.000	0.900
S1PR2	CXCR4	1863970	1859216	ENSP00000466933	ENSP00000386884	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
MTRNR2L2	CCR4	1864056	1851498	ENSP00000468991	ENSP00000332659	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
CCR3	CCR4	1862185	1851498	ENSP00000441600	ENSP00000332659	0.000	0.000	0.000	0.930	0.000	0.000	0.900	0.000	0.899
CXCR4	CCR4	1859216	1851498	ENSP00000386884	ENSP00000332659	0.000	0.000	0.000	0.879	0.000	0.000	0.900	0.000	0.899
S1PR2	HCAR3	1863970	1862042	ENSP00000466933	ENSP00000436714	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
GRK6	CCR4	1861940	1851498	ENSP00000433511	ENSP00000332659	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
CCR3	CXCR4	1862185	1859216	ENSP00000441600	ENSP00000386884	0.000	0.000	0.000	0.837	0.000	0.000	0.900	0.000	0.899
HCAR3	CCR4	1862042	1851498	ENSP00000436714	ENSP00000332659	0.000	0.000	0.000	0.697	0.000	0.000	0.900	0.000	0.900
RGS6	CXCL12	1862736	1858332	ENSP00000451030	ENSP00000379140	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
VAV1	CXCL12	1864873	1858332	ENSP00000472929	ENSP00000379140	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
GRK6	CXCR4	1861940	1859216	ENSP00000433511	ENSP00000386884	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
MTRNR2L2	RGS6	1864056	1862736	ENSP00000468991	ENSP00000451030	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
CCR3	CXCL12	1862185	1858332	ENSP00000441600	ENSP00000379140	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
S1PR2	CCR4	1863970	1851498	ENSP00000466933	ENSP00000332659	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
MTRNR2L2	HCAR3	1864056	1862042	ENSP00000468991	ENSP00000436714	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
RGS6	HCAR3	1862736	1862042	ENSP00000451030	ENSP00000436714	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
CXCR4	CCR10	1859216	1851480	ENSP00000386884	ENSP00000332504	0.000	0.000	0.000	0.828	0.000	0.000	0.900	0.000	0.899
HCAR3	CXCR4	1862042	1859216	ENSP00000436714	ENSP00000386884	0.000	0.000	0.000	0.658	0.000	0.000	0.900	0.000	0.899
HCAR3	CXCL12	1862042	1858332	ENSP00000436714	ENSP00000379140	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
CXCR4	CXCL12	1859216	1858332	ENSP00000386884	ENSP00000379140	0.000	0.000	0.000	0.000	0.000	0.982	0.900	0.000	0.998
S1PR2	CXCL12	1863970	1858332	ENSP00000466933	ENSP00000379140	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
RGS6	CCR3	1862736	1862185	ENSP00000451030	ENSP00000441600	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
CCR4	CCR10	1851498	1851480	ENSP00000332659	ENSP00000332504	0.000	0.000	0.000	0.826	0.000	0.000	0.900	0.000	0.899
MTRNR2L2	CXCL12	1864056	1858332	ENSP00000468991	ENSP00000379140	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
CCR3	CCR10	1862185	1851480	ENSP00000441600	ENSP00000332504	0.000	0.000	0.000	0.715	0.000	0.000	0.900	0.000	0.899
S1PR2	RGS6	1863970	1862736	ENSP00000466933	ENSP00000451030	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
S1PR2	CCR3	1863970	1862185	ENSP00000466933	ENSP00000441600	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
MTRNR2L2	CCR10	1864056	1851480	ENSP00000468991	ENSP00000332504	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
S1PR2	CCR10	1863970	1851480	ENSP00000466933	ENSP00000332504	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
GRK6	CCR10	1861940	1851480	ENSP00000433511	ENSP00000332504	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
VAV1	CXCR4	1864873	1859216	ENSP00000472929	ENSP00000386884	0.000	0.000	0.000	0.000	0.000	0.576	0.900	0.000	0.955
MTRNR2L2	CXCR4	1864056	1859216	ENSP00000468991	ENSP00000386884	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
MTRNR2L2	CCR3	1864056	1862185	ENSP00000468991	ENSP00000441600	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
GRK6	CXCL12	1861940	1858332	ENSP00000433511	ENSP00000379140	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
CCR3	GRK6	1862185	1861940	ENSP00000441600	ENSP00000433511	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
MTRNR2L2	S1PR2	1864056	1863970	ENSP00000468991	ENSP00000466933	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
RGS6	CCR10	1862736	1851480	ENSP00000451030	ENSP00000332504	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
