#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
UBC	WDR82	1852861	1847739	ENSP00000344818	ENSP00000296490	0.000	0.000	0.000	0.000	0.000	0.935	0.000	0.000	0.935
UBC	HSPD1	1852861	1852284	ENSP00000344818	ENSP00000340019	0.000	0.000	0.000	0.000	0.000	0.997	0.000	0.000	0.997
HSPD1	CASP3	1852284	1849375	ENSP00000340019	ENSP00000311032	0.000	0.000	0.000	0.000	0.000	0.812	0.000	0.000	0.812
WDR82	HSPE1	1847739	1843372	ENSP00000296490	ENSP00000233893	0.000	0.000	0.000	0.000	0.000	0.666	0.000	0.000	0.666
HSPA9	KIAA0368	1847834	1844682	ENSP00000297185	ENSP00000259335	0.000	0.000	0.000	0.000	0.000	0.567	0.000	0.000	0.567
HSPD1	HSPA9	1852284	1847834	ENSP00000340019	ENSP00000297185	0.000	0.000	0.000	0.000	0.000	0.764	0.000	0.000	0.764
WDR1	UBC	1861716	1852861	ENSP00000427687	ENSP00000344818	0.000	0.000	0.000	0.000	0.000	0.955	0.000	0.000	0.955
UBC	KIAA0368	1852861	1844682	ENSP00000344818	ENSP00000259335	0.000	0.000	0.000	0.000	0.000	0.980	0.000	0.000	0.980
ALDH2	HSPE1	1844978	1843372	ENSP00000261733	ENSP00000233893	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.000	0.575
UBC	CASP3	1852861	1849375	ENSP00000344818	ENSP00000311032	0.000	0.000	0.000	0.000	0.000	0.907	0.000	0.000	0.907
WDR1	HSPE1	1861716	1843372	ENSP00000427687	ENSP00000233893	0.000	0.000	0.000	0.000	0.000	0.538	0.000	0.000	0.538
UBC	MPI	1852861	1850038	ENSP00000344818	ENSP00000318318	0.000	0.000	0.000	0.000	0.000	0.629	0.000	0.000	0.629
KIAA0368	HSPE1	1844682	1843372	ENSP00000259335	ENSP00000233893	0.000	0.000	0.000	0.000	0.000	0.567	0.000	0.000	0.567
RBBP7	UBC	1857150	1852861	ENSP00000369424	ENSP00000344818	0.000	0.000	0.000	0.000	0.000	0.958	0.000	0.000	0.958
RBBP7	HSPE1	1857150	1843372	ENSP00000369424	ENSP00000233893	0.000	0.000	0.000	0.000	0.000	0.538	0.000	0.000	0.538
UBC	HSPE1	1852861	1843372	ENSP00000344818	ENSP00000233893	0.000	0.000	0.000	0.000	0.000	0.855	0.000	0.000	0.855
UBC	ALDH2	1852861	1844978	ENSP00000344818	ENSP00000261733	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.000	0.621
WDR1	RBBP7	1861716	1857150	ENSP00000427687	ENSP00000369424	0.000	0.000	0.000	0.000	0.000	0.538	0.000	0.000	0.538
HSPD1	ALDH2	1852284	1844978	ENSP00000340019	ENSP00000261733	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.000	0.575
HSPD1	HSPE1	1852284	1843372	ENSP00000340019	ENSP00000233893	0.000	0.000	0.000	0.000	0.000	0.998	0.000	0.000	0.998
HSPA9	HSPE1	1847834	1843372	ENSP00000297185	ENSP00000233893	0.000	0.000	0.000	0.000	0.000	0.988	0.000	0.000	0.988
MPI	HSPE1	1850038	1843372	ENSP00000318318	ENSP00000233893	0.000	0.000	0.000	0.000	0.000	0.644	0.000	0.000	0.643
CASP3	HSPE1	1849375	1843372	ENSP00000311032	ENSP00000233893	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.000	0.575
UBC	HSPA9	1852861	1847834	ENSP00000344818	ENSP00000297185	0.000	0.000	0.000	0.000	0.000	0.997	0.000	0.000	0.997
