#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
SMAD4	SMAD2	1852473	1845079	ENSP00000341551	ENSP00000262160	0.000	0.000	0.000	0.750	0.000	0.999	0.900	0.000	0.999
SKI	SMAD3	1856887	1851536	ENSP00000367797	ENSP00000332973	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.000	0.999
JUN	SP1	1855436	1851138	ENSP00000360266	ENSP00000329357	0.000	0.000	0.000	0.000	0.000	0.922	0.900	0.000	0.991
EP300	SMAD2	1845316	1845079	ENSP00000263253	ENSP00000262160	0.000	0.000	0.000	0.000	0.000	0.965	0.900	0.000	0.996
SMAD3	SKIL	1851536	1844666	ENSP00000332973	ENSP00000259119	0.000	0.000	0.000	0.000	0.000	0.997	0.900	0.000	0.999
JUN	CREBBP	1855436	1845124	ENSP00000360266	ENSP00000262367	0.000	0.000	0.000	0.000	0.000	0.992	0.900	0.000	0.999
UBC	EP300	1852861	1845316	ENSP00000344818	ENSP00000263253	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.000	0.900
SMAD2	SKIL	1845079	1844666	ENSP00000262160	ENSP00000259119	0.000	0.000	0.000	0.000	0.000	0.997	0.900	0.000	0.999
SMAD4	EP300	1852473	1845316	ENSP00000341551	ENSP00000263253	0.000	0.000	0.000	0.000	0.000	0.982	0.900	0.000	0.998
CREBBP	SMAD2	1845124	1845079	ENSP00000262367	ENSP00000262160	0.000	0.000	0.000	0.000	0.000	0.984	0.900	0.000	0.998
SKI	SMAD2	1856887	1845079	ENSP00000367797	ENSP00000262160	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.000	0.999
UBC	SMAD3	1852861	1851536	ENSP00000344818	ENSP00000332973	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.000	0.999
SMAD3	CREBBP	1851536	1845124	ENSP00000332973	ENSP00000262367	0.000	0.000	0.000	0.000	0.000	0.996	0.900	0.000	0.999
JUN	SMAD2	1855436	1845079	ENSP00000360266	ENSP00000262160	0.000	0.000	0.000	0.000	0.000	0.843	0.000	0.000	0.843
SMAD3	SP1	1851536	1851138	ENSP00000332973	ENSP00000329357	0.000	0.000	0.000	0.000	0.000	0.992	0.900	0.000	0.999
CREBBP	SKIL	1845124	1844666	ENSP00000262367	ENSP00000259119	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
SMAD4	SMAD3	1852473	1851536	ENSP00000341551	ENSP00000332973	0.000	0.000	0.000	0.772	0.000	0.999	0.900	0.000	0.999
SKI	JUN	1856887	1855436	ENSP00000367797	ENSP00000360266	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.000	0.575
SP1	EP300	1851138	1845316	ENSP00000329357	ENSP00000263253	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.000	0.999
SKI	UBC	1856887	1852861	ENSP00000367797	ENSP00000344818	0.000	0.000	0.000	0.000	0.000	0.936	0.900	0.000	0.993
SKI	SMAD4	1856887	1852473	ENSP00000367797	ENSP00000341551	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.000	0.999
UBC	SMAD4	1852861	1852473	ENSP00000344818	ENSP00000341551	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.000	0.999
SMAD3	SMAD2	1851536	1845079	ENSP00000332973	ENSP00000262160	0.000	0.000	0.000	0.987	0.000	0.991	0.900	0.000	0.999
JUN	SMAD3	1855436	1851536	ENSP00000360266	ENSP00000332973	0.000	0.000	0.000	0.000	0.000	0.983	0.900	0.000	0.998
UBC	SP1	1852861	1851138	ENSP00000344818	ENSP00000329357	0.000	0.000	0.000	0.000	0.000	0.994	0.000	0.000	0.994
SMAD4	CREBBP	1852473	1845124	ENSP00000341551	ENSP00000262367	0.000	0.000	0.000	0.000	0.000	0.567	0.900	0.000	0.954
JUN	SMAD4	1855436	1852473	ENSP00000360266	ENSP00000341551	0.000	0.000	0.000	0.000	0.000	0.569	0.900	0.000	0.955
SMAD3	ZFYVE9	1851536	1847085	ENSP00000332973	ENSP00000287727	0.000	0.000	0.000	0.000	0.000	0.994	0.900	0.000	0.999
SMAD4	SP1	1852473	1851138	ENSP00000341551	ENSP00000329357	0.000	0.000	0.000	0.000	0.000	0.992	0.900	0.000	0.999
SKI	SKIL	1856887	1844666	ENSP00000367797	ENSP00000259119	0.000	0.000	0.000	0.860	0.000	0.962	0.900	0.000	0.996
UBC	SMAD2	1852861	1845079	ENSP00000344818	ENSP00000262160	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.000	0.999
SP1	SMAD2	1851138	1845079	ENSP00000329357	ENSP00000262160	0.000	0.000	0.000	0.000	0.000	0.913	0.900	0.000	0.990
JUN	UBC	1855436	1852861	ENSP00000360266	ENSP00000344818	0.000	0.000	0.000	0.000	0.000	0.999	0.000	0.000	0.999
JUN	EP300	1855436	1845316	ENSP00000360266	ENSP00000263253	0.000	0.000	0.000	0.000	0.000	0.996	0.900	0.000	0.999
UBC	CREBBP	1852861	1845124	ENSP00000344818	ENSP00000262367	0.000	0.000	0.000	0.000	0.000	0.883	0.000	0.000	0.883
UBC	ZFYVE9	1852861	1847085	ENSP00000344818	ENSP00000287727	0.000	0.000	0.000	0.000	0.000	0.570	0.000	0.000	0.570
ZFYVE9	SMAD2	1847085	1845079	ENSP00000287727	ENSP00000262160	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.000	0.999
SMAD4	SKIL	1852473	1844666	ENSP00000341551	ENSP00000259119	0.000	0.000	0.000	0.000	0.000	0.933	0.900	0.000	0.993
UBC	SKIL	1852861	1844666	ENSP00000344818	ENSP00000259119	0.000	0.000	0.000	0.000	0.000	0.889	0.900	0.000	0.988
SP1	CREBBP	1851138	1845124	ENSP00000329357	ENSP00000262367	0.000	0.000	0.000	0.000	0.000	0.824	0.900	0.000	0.981
EP300	CREBBP	1845316	1845124	ENSP00000263253	ENSP00000262367	0.000	0.000	0.000	0.954	0.000	0.922	0.900	0.000	0.991
EP300	SKIL	1845316	1844666	ENSP00000263253	ENSP00000259119	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
SMAD3	EP300	1851536	1845316	ENSP00000332973	ENSP00000263253	0.000	0.000	0.000	0.000	0.000	0.998	0.900	0.000	0.999
