#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
PDGFD	PDGFRB	1858075	1844996	ENSP00000376865	ENSP00000261799	0.000	0.000	0.000	0.000	0.000	0.576	0.900	0.000	0.955
PDGFD	PLAUR	1858075	1852201	ENSP00000376865	ENSP00000339328	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
PLAU	PDGFRB	1855748	1844996	ENSP00000361850	ENSP00000261799	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
PDGFRB	PDGFRA	1844996	1844502	ENSP00000261799	ENSP00000257290	0.000	0.000	0.000	0.923	0.000	0.963	0.900	0.000	0.996
PLAU	PLAUR	1855748	1852201	ENSP00000361850	ENSP00000339328	0.000	0.000	0.000	0.000	0.000	0.998	0.900	0.000	0.999
PDGFD	EPHA2	1858075	1853684	ENSP00000376865	ENSP00000351209	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
PDGFD	TEK	1858075	1857139	ENSP00000376865	ENSP00000369375	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
PDGFD	INSRR	1858075	1854759	ENSP00000376865	ENSP00000357178	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
PLAU	PLAT	1855748	1842802	ENSP00000361850	ENSP00000220809	0.000	0.000	0.000	0.887	0.000	0.576	0.000	0.000	0.575
PLAUR	PDGFRB	1852201	1844996	ENSP00000339328	ENSP00000261799	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
FGFR1	PDGFD	1859710	1858075	ENSP00000393312	ENSP00000376865	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
PDGFD	PDGFRA	1858075	1844502	ENSP00000376865	ENSP00000257290	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
PDGFD	PLAT	1858075	1842802	ENSP00000376865	ENSP00000220809	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
PDGFD	PLAU	1858075	1855748	ENSP00000376865	ENSP00000361850	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
FGFR2	PDGFD	1860837	1858075	ENSP00000410294	ENSP00000376865	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
