#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
CH25H	LIPA	1855563	1851986	ENSP00000360918	ENSP00000337354	0.000	0.000	0.000	0.000	0.000	0.097	0.800	0.000	0.811
CYP11A1	SULT2B1	1845987	1842398	ENSP00000268053	ENSP00000201586	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
CEL	SULT2B1	1855614	1842398	ENSP00000361151	ENSP00000201586	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
CYP11A1	STS	1845987	1842680	ENSP00000268053	ENSP00000217961	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
LIPA	CYP27A1	1851986	1844601	ENSP00000337354	ENSP00000258415	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
DHCR7	LIPA	1853204	1851986	ENSP00000347717	ENSP00000337354	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
CEL	STS	1855614	1842680	ENSP00000361151	ENSP00000217961	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
CYP7A1	CYP46A1	1848316	1845001	ENSP00000301645	ENSP00000261835	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
CH25H	CYP7A1	1855563	1848316	ENSP00000360918	ENSP00000301645	0.000	0.000	0.000	0.000	0.000	0.488	0.900	0.000	0.946
CH25H	DHCR7	1855563	1853204	ENSP00000360918	ENSP00000347717	0.000	0.000	0.000	0.000	0.000	0.407	0.800	0.000	0.876
LIPA	CYP7A1	1851986	1848316	ENSP00000337354	ENSP00000301645	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
LIPA	STS	1851986	1842680	ENSP00000337354	ENSP00000217961	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
CEL	CYP7A1	1855614	1848316	ENSP00000361151	ENSP00000301645	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
LIPA	SULT2B1	1851986	1842398	ENSP00000337354	ENSP00000201586	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
DHCR7	CYP11A1	1853204	1845987	ENSP00000347717	ENSP00000268053	0.000	0.000	0.000	0.000	0.000	0.165	0.800	0.000	0.825
CH25H	DHCR24	1855563	1855451	ENSP00000360918	ENSP00000360316	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
LIPA	CYP46A1	1851986	1845001	ENSP00000337354	ENSP00000261835	0.000	0.000	0.000	0.000	0.000	0.073	0.800	0.000	0.806
DHCR24	LIPA	1855451	1851986	ENSP00000360316	ENSP00000337354	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
DHCR24	CYP11A1	1855451	1845987	ENSP00000360316	ENSP00000268053	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
