#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
E2F2	TP53	1854335	1846083	ENSP00000355249	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.540	0.540
MDM2	RB1	1861282	1845924	ENSP00000417281	ENSP00000267163	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.623	0.999
CDK1	UBC	1858283	1852861	ENSP00000378699	ENSP00000344818	0.000	0.000	0.000	0.000	0.000	0.997	0.900	0.197	0.999
UBC	CDK4	1852861	1844551	ENSP00000344818	ENSP00000257904	0.000	0.000	0.000	0.000	0.000	0.974	0.000	0.212	0.979
TP53	PIK3CA	1846083	1845446	ENSP00000269305	ENSP00000263967	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.948	0.948
CCND3	E2F2	1855798	1854335	ENSP00000362082	ENSP00000355249	0.000	0.000	0.000	0.000	0.000	0.184	0.900	0.652	0.969
SP1	CCND2	1851138	1844875	ENSP00000329357	ENSP00000261254	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.243	0.921
BMI1	CDKN2C	1856537	1845196	ENSP00000365851	ENSP00000262662	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.416	0.416
E2F2	CDK6	1854335	1845799	ENSP00000355249	ENSP00000265734	0.000	0.000	0.000	0.000	0.000	0.244	0.900	0.740	0.978
WRN	CDK6	1847932	1845799	ENSP00000298139	ENSP00000265734	0.000	0.000	0.000	0.000	0.082	0.259	0.000	0.279	0.467
ABL1	CDKN1A	1855665	1843736	ENSP00000361423	ENSP00000244741	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.507	0.507
UCHL1	CDKN1B	1846906	1843169	ENSP00000284440	ENSP00000228872	0.000	0.000	0.000	0.000	0.000	0.567	0.000	0.169	0.624
ETS2	MAPK14	1853968	1843222	ENSP00000353344	ENSP00000229794	0.000	0.000	0.000	0.000	0.000	0.149	0.900	0.667	0.969
MYC	EZH2	1856789	1850211	ENSP00000367207	ENSP00000320147	0.000	0.000	0.000	0.000	0.000	0.570	0.000	0.896	0.953
HDAC9	EZH2	1860731	1850211	ENSP00000408617	ENSP00000320147	0.063	0.000	0.000	0.000	0.086	0.220	0.000	0.645	0.731
CDKN2A	TP53	1859838	1846083	ENSP00000394932	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.997	0.900	0.981	0.999
MDM2	NPM1	1861282	1847808	ENSP00000417281	ENSP00000296930	0.000	0.000	0.000	0.000	0.000	0.915	0.000	0.897	0.990
BMI1	MYCN	1856537	1846701	ENSP00000365851	ENSP00000281043	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.414	0.414
RB1	CCND2	1845924	1844875	ENSP00000267163	ENSP00000261254	0.000	0.000	0.000	0.000	0.000	0.975	0.900	0.948	0.999
MYCN	CDKN1B	1846701	1843169	ENSP00000281043	ENSP00000228872	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.886	0.886
HDAC9	CCND1	1860731	1843117	ENSP00000408617	ENSP00000227507	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.923	0.923
ING1	CDKN1A	1856375	1843736	ENSP00000364929	ENSP00000244741	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.400	0.400
E2F1	TP53	1852951	1846083	ENSP00000345571	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.393	0.731
CDKN2A	ETS2	1859838	1853968	ENSP00000394932	ENSP00000353344	0.000	0.000	0.000	0.000	0.000	0.074	0.900	0.317	0.931
CDKN2A	SP1	1859838	1851138	ENSP00000394932	ENSP00000329357	0.000	0.000	0.000	0.000	0.000	0.598	0.900	0.320	0.970
SMAD4	CDKN1B	1852473	1843169	ENSP00000341551	ENSP00000228872	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.505	0.948
CCND3	SP1	1855798	1851138	ENSP00000362082	ENSP00000329357	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.854	0.854
CCND3	CDKN2C	1855798	1845196	ENSP00000362082	ENSP00000262662	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.585	0.913
CDKN2A	MYCN	1859838	1846701	ENSP00000394932	ENSP00000281043	0.000	0.000	0.000	0.000	0.000	0.567	0.000	0.898	0.953
E2F2	CCND1	1854335	1843117	ENSP00000355249	ENSP00000227507	0.000	0.000	0.000	0.000	0.000	0.184	0.900	0.723	0.975
MYCN	RB1	1846701	1845924	ENSP00000281043	ENSP00000267163	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.510	0.510
SMAD4	MAPK14	1852473	1843222	ENSP00000341551	ENSP00000229794	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.642	0.642
UCHL1	TP53	1846906	1846083	ENSP00000284440	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.809	0.000	0.874	0.975
RB1	PIK3CA	1845924	1845446	ENSP00000267163	ENSP00000263967	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.519	0.519
MDM2	ABL1	1861282	1855665	ENSP00000417281	ENSP00000361423	0.000	0.000	0.000	0.000	0.000	0.576	0.900	0.885	0.994
MYC	CDK6	1856789	1845799	ENSP00000367207	ENSP00000265734	0.000	0.000	0.000	0.000	0.000	0.292	0.000	0.681	0.764
BMI1	CDK4	1856537	1844551	ENSP00000365851	ENSP00000257904	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.897	0.897
BMI1	CCND2	1856537	1844875	ENSP00000365851	ENSP00000261254	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.472	0.472
MYC	SMAD4	1856789	1852473	ENSP00000367207	ENSP00000341551	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.613	0.959
CDKN2A	CTCF	1859838	1845456	ENSP00000394932	ENSP00000264010	0.000	0.000	0.000	0.000	0.000	0.091	0.900	0.379	0.938
UBC	CDK2	1852861	1845906	ENSP00000344818	ENSP00000266970	0.000	0.000	0.000	0.000	0.000	0.966	0.900	0.220	0.997
WRN	CDK4	1847932	1844551	ENSP00000298139	ENSP00000257904	0.000	0.000	0.000	0.000	0.082	0.259	0.000	0.273	0.462
ETS1	UBC	1858032	1852861	ENSP00000376436	ENSP00000344818	0.000	0.000	0.000	0.000	0.000	0.945	0.000	0.070	0.947
MYC	NPM1	1856789	1847808	ENSP00000367207	ENSP00000296930	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.903	0.989
CDKN2A	CCND3	1859838	1855798	ENSP00000394932	ENSP00000362082	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.700	0.968
E2F2	E2F1	1854335	1852951	ENSP00000355249	ENSP00000345571	0.000	0.000	0.000	0.862	0.000	0.733	0.900	0.769	0.975
CDK2	CCND1	1845906	1843117	ENSP00000266970	ENSP00000227507	0.000	0.000	0.000	0.000	0.000	0.985	0.720	0.992	0.999
MYC	EGR1	1856789	1843543	ENSP00000367207	ENSP00000239938	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.928	0.928
CTCF	CDKN1B	1845456	1843169	ENSP00000264010	ENSP00000228872	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.137	0.910
CDK6	CDKN1B	1845799	1843169	ENSP00000265734	ENSP00000228872	0.000	0.000	0.000	0.000	0.000	0.992	0.900	0.965	0.999
RB1	CDK6	1845924	1845799	ENSP00000267163	ENSP00000265734	0.000	0.000	0.000	0.000	0.000	0.998	0.900	0.966	0.999
HDAC9	MAPK14	1860731	1843222	ENSP00000408617	ENSP00000229794	0.000	0.000	0.000	0.000	0.000	0.097	0.000	0.394	0.430
ETS1	E2F1	1858032	1852951	ENSP00000376436	ENSP00000345571	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.134	0.909
HDAC9	BCL2L1	1860731	1848421	ENSP00000408617	ENSP00000302564	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.755	0.755
CCND2	CDK4	1844875	1844551	ENSP00000261254	ENSP00000257904	0.000	0.000	0.000	0.000	0.000	0.994	0.900	0.990	0.999
MYC	SP1	1856789	1851138	ENSP00000367207	ENSP00000329357	0.000	0.000	0.000	0.000	0.000	0.962	0.900	0.501	0.997
CDKN2A	CCND2	1859838	1844875	ENSP00000394932	ENSP00000261254	0.000	0.000	0.000	0.000	0.000	0.804	0.900	0.710	0.993
CDKN2A	MYC	1859838	1856789	ENSP00000394932	ENSP00000367207	0.000	0.000	0.000	0.000	0.000	0.962	0.900	0.983	0.999
ING1	KAT5	1856375	1852315	ENSP00000364929	ENSP00000340330	0.000	0.000	0.000	0.000	0.073	0.289	0.000	0.465	0.617
CDK1	CDK4	1858283	1844551	ENSP00000378699	ENSP00000257904	0.000	0.000	0.519	0.916	0.084	0.109	0.900	0.981	0.921
SMAD4	CTCF	1852473	1845456	ENSP00000341551	ENSP00000264010	0.000	0.000	0.000	0.000	0.000	0.576	0.900	0.109	0.958
CDK1	NPM1	1858283	1847808	ENSP00000378699	ENSP00000296930	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.409	0.738
CDK6	CCND2	1845799	1844875	ENSP00000265734	ENSP00000261254	0.000	0.000	0.000	0.000	0.000	0.966	0.900	0.990	0.999
MDM2	MYC	1861282	1856789	ENSP00000417281	ENSP00000367207	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.646	0.646
UBC	MYCN	1852861	1846701	ENSP00000344818	ENSP00000281043	0.000	0.000	0.000	0.000	0.000	0.771	0.000	0.072	0.779
SMAD3	KDM6B	1851536	1844330	ENSP00000332973	ENSP00000254846	0.000	0.000	0.000	0.000	0.000	0.564	0.000	0.126	0.602
CCND3	CCND2	1855798	1844875	ENSP00000362082	ENSP00000261254	0.000	0.000	0.000	0.968	0.000	0.000	0.900	0.871	0.902
HDAC9	CDK2	1860731	1845906	ENSP00000408617	ENSP00000266970	0.000	0.000	0.000	0.000	0.000	0.103	0.000	0.592	0.619
HDAC9	CDK4	1860731	1844551	ENSP00000408617	ENSP00000257904	0.000	0.000	0.000	0.000	0.000	0.103	0.000	0.565	0.594
TP53	E2F3	1846083	1845241	ENSP00000269305	ENSP00000262904	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.585	0.585
ABL1	KAT5	1855665	1852315	ENSP00000361423	ENSP00000340330	0.000	0.000	0.000	0.000	0.000	0.149	0.000	0.831	0.850
CDK4	EGR1	1844551	1843543	ENSP00000257904	ENSP00000239938	0.000	0.000	0.000	0.000	0.000	0.098	0.000	0.492	0.522
CDKN2C	CDK4	1845196	1844551	ENSP00000262662	ENSP00000257904	0.000	0.000	0.000	0.000	0.000	0.992	0.900	0.974	0.999
ETS2	CCND1	1853968	1843117	ENSP00000353344	ENSP00000227507	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.417	0.416
MYC	E2F2	1856789	1854335	ENSP00000367207	ENSP00000355249	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.904	0.990
E2F1	CDK4	1852951	1844551	ENSP00000345571	ENSP00000257904	0.000	0.000	0.000	0.000	0.000	0.244	0.900	0.673	0.973
UBC	RB1	1852861	1845924	ENSP00000344818	ENSP00000267163	0.000	0.000	0.000	0.000	0.000	0.987	0.900	0.143	0.998
