#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
RBBP7	RBBP4	1857150	1855919	9606.ENSP00000369424	9606.ENSP00000362592	0	0	0	0.988	0	0.993	0.900	0	0.999
CCND3	CDKN1B	1855798	1843169	9606.ENSP00000362082	9606.ENSP00000228872	0	0	0	0	0	0.998	0.800	0	0.999
UBE2D1	UBC	1856011	1852861	9606.ENSP00000363019	9606.ENSP00000344818	0	0	0	0	0.074	0.999	0.900	0	0.999
TGFBR2	TGFB3	1853779	1843496	9606.ENSP00000351905	9606.ENSP00000238682	0	0	0	0	0	0.999	0.900	0	0.999
E2F4	RBL1	1857021	1855962	9606.ENSP00000368686	9606.ENSP00000362768	0	0	0	0	0	0.999	0.900	0	0.999
CCT2	CCT8	1848044	1847035	9606.ENSP00000299300	9606.ENSP00000286788	0	0	0	0.724	0.751	0.997	0.900	0	0.999
CDK4	CDKN1B	1844551	1843169	9606.ENSP00000257904	9606.ENSP00000228872	0	0	0	0	0	0.999	0.900	0	0.999
TGFBR1	SMAD7	1856216	1845078	9606.ENSP00000364133	9606.ENSP00000262158	0	0	0	0	0	0.999	0.900	0	0.999
UBC	CTNNB1	1852861	1852818	9606.ENSP00000344818	9606.ENSP00000344456	0	0	0	0	0	0.999	0	0	0.999
MDM2	UBE2D1	1861282	1856011	9606.ENSP00000417281	9606.ENSP00000363019	0	0	0	0	0	0.999	0.900	0	0.999
CDKN2A	CDK6	1859838	1845799	9606.ENSP00000394932	9606.ENSP00000265734	0	0	0	0	0	0.999	0.900	0	0.999
MYC	ZBTB17	1856789	1856370	9606.ENSP00000367207	9606.ENSP00000364895	0	0	0	0	0	0.996	0.900	0	0.999
TFDP2	RBL1	1861493	1855962	9606.ENSP00000420616	9606.ENSP00000362768	0	0	0	0	0.095	0.999	0.900	0	0.999
CCND3	CDK4	1855798	1844551	9606.ENSP00000362082	9606.ENSP00000257904	0	0	0	0	0	0.999	0.900	0	0.999
RPS13	RPS15A	1862013	1850066	9606.ENSP00000435777	9606.ENSP00000318646	0	0	0	0	0.975	0.999	0.900	0	0.999
CDK6	CDKN1B	1845799	1843169	9606.ENSP00000265734	9606.ENSP00000228872	0	0	0	0	0	0.992	0.900	0	0.999
CDKN2A	TP53	1859838	1846083	9606.ENSP00000394932	9606.ENSP00000269305	0	0	0	0	0	0.997	0.900	0	0.999
SMURF1	UBC	1854172	1852861	9606.ENSP00000354621	9606.ENSP00000344818	0	0	0	0	0	0.997	0.900	0	0.999
MDM2	UBC	1861282	1852861	9606.ENSP00000417281	9606.ENSP00000344818	0	0	0	0	0	0.999	0.900	0	0.999
RPS15A	RPS27A	1850066	1846244	9606.ENSP00000318646	9606.ENSP00000272317	0	0	0	0	0.975	0.998	0.900	0	0.999
UBC	RPS27A	1852861	1846244	9606.ENSP00000344818	9606.ENSP00000272317	0	0	0	0.943	0.128	0.999	0.900	0	0.999
CCT2	CCT7	1848044	1844568	9606.ENSP00000299300	9606.ENSP00000258091	0	0	0.278	0.852	0.865	0.997	0.900	0	0.999
FOS	JUNB	1848822	1848518	9606.ENSP00000306245	9606.ENSP00000303315	0	0	0	0	0.171	0.989	0.900	0	0.999
UBC	IRF7	1852861	1851145	9606.ENSP00000344818	9606.ENSP00000329411	0	0	0	0	0.098	0.999	0	0	0.999
UBC	WWP1	1852861	1845749	9606.ENSP00000344818	9606.ENSP00000265428	0	0	0	0	0	0.993	0.900	0	0.999
E2F4	TFDP1	1857021	1856285	9606.ENSP00000368686	9606.ENSP00000364519	0	0	0	0	0.100	0.997	0.900	0	0.999
CDK2	CDKN1B	1845906	1843169	9606.ENSP00000266970	9606.ENSP00000228872	0	0	0	0	0	0.999	0.900	0	0.999
JUN	ATF2	1855436	1845482	9606.ENSP00000360266	9606.ENSP00000264110	0	0	0	0.632	0	0.999	0.900	0	0.999
CCT4	CCT8	1858199	1847035	9606.ENSP00000377958	9606.ENSP00000286788	0	0	0.340	0.767	0.885	0.994	0.900	0	0.999
CDKN2A	CDK4	1859838	1844551	9606.ENSP00000394932	9606.ENSP00000257904	0	0	0	0	0	0.999	0.900	0	0.999
CBFB	RUNX1	1861140	1848173	9606.ENSP00000415151	9606.ENSP00000300305	0	0	0	0	0	0.999	0.900	0	0.999
TGFBR1	UBC	1856216	1852861	9606.ENSP00000364133	9606.ENSP00000344818	0	0	0	0	0	0.999	0.900	0	0.999
